Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	24031182	0	0	1	3	0	1	A	1	1	0	832	0	0	0	0	0	838	940	1858	2285	2547	3047	0	3287	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	1	1	0	1	3	0	B	1	0	0	832	0	0	0	0	0	5287	5338	6731	7125	7445	7945	0	8185	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	2	1	0	3	2	0	B	1	0	0	832	0	0	0	0	0	10186	10245	10832	11254	11414	11914	0	12155	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	3	0	1	1	2	1	A	1	0	0	832	0	0	0	0	0	14156	14232	15561	16008	16299	16799	0	17040	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	4	0	1	1	0	1	A	1	1	0	832	0	0	0	0	0	19040	19116	19795	20172	20471	20971	0	21212	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	5	0	1	1	2	1	A	1	1	0	832	0	0	0	0	0	23213	23291	24693	25068	25398	25898	0	26139	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	6	1	0	0	3	0	B	1	1	0	832	0	0	0	0	0	28139	28215	29658	30042	30572	31072	0	31313	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	7	1	0	1	2	0	B	1	1	0	832	0	0	0	0	0	33313	33361	33907	34285	34513	35013	0	35253	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	8	1	0	0	2	0	B	1	1	0	832	0	0	0	0	0	37254	37296	38405	38815	39039	39539	0	39779	0	0	0	0	0	0	
2	Exec_Auto	0	24031182	9	0	1	0	1	1	A	1	1	0	832	0	0	0	0	0	41780	41842	42833	43247	43537	44037	0	44277	0	0	0	0	0	0	
2	Exec_Auto	1	24031182	10	0	1	1	3	1	B	0	0	0	832	0	0	0	0	0	46278	46350	47268	47767	48011	0	48511	48752	0	0	0	0	0	0	
2	Exec_Auto	1	24031182	11	1	0	3	0	0	A	0	0	0	832	0	0	0	0	0	50753	50810	52203	52698	53077	0	53577	53819	0	0	0	0	0	0	
2	Exec_Auto	1	24031182	12	1	0	2	1	0	A	0	0	0	832	0	0	0	0	0	55823	55890	56477	57050	57221	0	57721	57961	0	0	0	0	0	0	
2	Exec_Auto	1	24031182	13	0	1	1	2	1	B	0	1	0	832	0	0	0	0	0	59961	60023	61352	61849	62048	0	62548	62789	0	0	0	0	0	0	
2	Exec_Auto	1	24031182	14	1	0	2	3	0	A	0	0	0	832	0	0	0	0	0	64790	64810	65489	65924	66131	0	66631	66871	0	0	0	0	0	0	
2	Exec_Auto	1	24031182	15	1	0	0	2	0	A	0	1	0	832	0	0	0	0	0	68871	68939	70341	70866	71273	0	71773	72014	0	0	0	0	0	0	
2	Exec_Auto	1	24031182	16	0	1	2	1	1	B	0	0	0	832	0	0	0	0	0	74014	74090	75533	76039	76320	0	76820	77061	0	0	0	0	0	0	
2	Exec_Auto	1	24031182	17	0	1	0	2	1	B	0	0	0	832	0	0	0	0	0	79061	79112	79658	80157	80370	0	80870	81110	0	0	0	0	0	0	
