Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	2304689	0	1	0	2	1	0	B	1	1	0	1081867	0	0	0	0	0	1081875	1081951	1083241	1083714	1084184	1085062	0	1085304	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	1	1	0	3	1	0	B	1	1	0	1081867	0	0	0	0	0	1091305	1091383	1091978	1092508	1092895	1093608	0	1093849	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	2	0	1	3	2	1	A	1	1	0	1081867	0	0	0	0	0	1099850	1099917	1100677	1101303	1101656	1102633	0	1102874	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	3	0	1	1	3	1	A	1	0	0	1081867	0	0	0	0	0	1108874	1108940	1109804	1110287	1110659	1111880	0	1112121	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	4	0	1	3	2	1	A	1	1	0	1081867	0	0	0	0	0	1118121	1118194	1119231	1119815	1120171	1121112	0	1121353	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	5	1	0	0	2	0	B	1	0	0	1081867	0	0	0	0	0	1127354	1127388	1128746	1129342	1129679	1131141	0	1131382	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	6	0	1	1	3	1	A	1	1	0	1081867	0	0	0	0	0	1137382	1137458	1138636	1139148	1139653	1140910	0	1141152	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	7	0	1	2	0	1	A	1	0	0	1081867	0	0	0	0	0	1147153	1147182	1148423	1149033	1149312	1150587	0	1150828	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	8	0	1	0	1	1	A	1	1	0	1081867	0	0	0	0	0	1156828	1156891	1158019	1158652	1159116	1160514	0	1160755	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	9	0	1	3	0	1	A	1	1	0	1081867	0	0	0	0	0	1166755	1166822	1167831	1168449	1168799	1170187	0	1170428	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	10	1	0	2	1	0	B	1	0	0	1081867	0	0	0	0	0	1176428	1176501	1177791	1178486	1178935	1179813	0	1180053	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	11	0	1	3	2	1	A	1	1	0	1081867	0	0	0	0	0	1186054	1186130	1186725	1187370	1187782	1188495	0	1188735	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	12	1	0	3	1	0	B	1	0	0	1081867	0	0	0	0	0	1194736	1194791	1195551	1196116	1196492	1197469	0	1197710	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	13	0	1	2	3	1	A	1	0	0	1081867	0	0	0	0	0	1203711	1203770	1204634	1205184	1205448	1206669	0	1206909	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	14	1	0	0	1	0	B	1	0	0	1081867	0	0	0	0	0	1212912	1212978	1214015	1214622	1215027	1215968	0	1216208	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	15	1	0	0	3	0		0	0	251	1081867	0	0	0	0	0	1222208	1222250	1223608	1224564	1224911	0	0	1229573	0	1226373	0	0	0	0	
2	Exec_Auto	1	2304689	15	1	0	0	3	0	B	1	0	0	1081867	0	0	0	0	0	1235574	1235625	1236983	1237800	1238340	1239802	0	1240042	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	16	1	0	2	3	0	A	0	1	0	1081867	0	0	0	0	0	1246043	1246118	1247296	1248187	1248582	0	1249839	1250079	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	17	0	1	2	0	1	B	0	0	0	1081867	0	0	0	0	0	1256080	1256132	1257373	1258072	1258547	0	1259822	1260062	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	18	0	1	1	2	1	B	0	0	0	1081867	0	0	0	0	0	1266064	1266130	1267258	1268048	1268350	0	1269748	1269989	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	19	1	0	0	1	0	A	0	1	0	1081867	0	0	0	0	0	1275989	1276057	1277066	1277662	1278189	0	1279577	1279818	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	0	1	0	1	2	0	B	1	0	0	1318491	0	0	0	0	0	1318498	1318560	1319779	1320246	1320601	1321774	0	1322014	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	1	0	1	3	2	1	A	1	1	0	1318491	0	0	0	0	0	1328015	1328056	1328962	1329621	1329979	1330525	0	1330767	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	2	0	1	0	3	1	A	1	0	0	1318491	0	0	0	0	0	1336767	1336804	1338055	1338585	1339064	1340190	0	1340432	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	3	0	1	0	3	1	A	1	1	0	1318491	0	0	0	0	0	1346432	1346506	1347140	1347829	1348284	1349601	0	1349844	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	4	1	0	0	3	0	B	1	1	0	1318491	0	0	0	0	0	1355845	1355922	1356573	1357175	1357543	1358140	0	1358381	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	5	1	0	0	1	0	B	1	1	0	1318491	0	0	0	0	0	1364381	1364429	1365344	1365880	1366333	1367039	0	1367285	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	6	1	0	2	3	0	B	1	1	0	1318491	0	0	0	0	0	1373285	1373326	1374242	1374865	1375273	1376259	0	1376500	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	7	0	1	2	1	1	A	1	1	0	1318491	0	0	0	0	0	1382501	1382575	1384000	1384625	1384964	1385797	0	1386037	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	8	0	1	0	2	1	A	1	0	0	1318491	0	0	0	0	0	1392038	1392110	1393247	1393830	1394313	1395700	0	1395940	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	9	1	0	0	2	0	B	1	1	0	1318491	0	0	0	0	0	1401940	1402003	1402879	1403392	1403857	1404539	0	1404780	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	10	0	1	2	0	1	A	1	1	0	1318491	0	0	0	0	0	1410780	1410848	1412067	1412696	1413014	1414187	0	1414427	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	11	1	0	2	3	0	A	0	0	0	1318491	0	0	0	0	0	1420427	1420500	1421406	1422181	1422531	0	1423077	1423318	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	12	1	0	3	0	0	A	0	0	0	1318491	0	0	0	0	0	1429319	1429350	1430601	1431529	1431880	0	1433006	1433246	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	13	1	0	0	2	0	A	0	1	0	1318491	0	0	0	0	0	1439247	1439313	1439947	1440602	1441038	0	1442355	1442595	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	14	1	0	1	2	0	A	0	1	0	1318491	0	0	0	0	0	1448595	1448651	1449302	1449806	1450324	0	1450921	1451161	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	15	0	1	0	2	1	B	0	1	0	1318491	0	0	0	0	0	1457161	1457214	1458129	1458781	1459200	0	1459906	1460147	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	16	1	0	1	0	0	A	0	0	0	1318491	0	0	0	0	0	1466147	1466188	1467104	1467837	1468280	0	1469266	1469507	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	17	0	1	3	1	1	B	0	0	0	1318491	0	0	0	0	0	1475508	1475530	1476955	1477590	1478048	0	1478881	1479122	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	18	0	1	2	1	1	B	0	0	0	1318491	0	0	0	0	0	1485122	1485195	1486332	1486919	1487347	0	1488734	1488976	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	19	0	1	2	0	1	B	0	1	0	1318491	0	0	0	0	0	1494976	1495048	1495924	1496481	1496835	0	1497517	1497757	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	0	1	0	2	1	0	B	1	0	0	1503758	0	0	0	0	0	1503797	1503881	1504989	1505643	1506079	1507291	0	1507532	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	1	0	1	2	1	1	A	1	0	0	1503758	0	0	0	0	0	1513533	1513574	1514517	1515028	1515417	1516113	0	1516353	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	2	1	0	2	3	0	B	1	1	0	1503758	0	0	0	0	0	1522353	1522418	1523868	1524517	1524880	1526000	0	1526240	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	3	1	0	1	0	0	B	1	1	0	1503758	0	0	0	0	0	1532241	1532331	1533586	1534278	1534712	1536068	0	1536309	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	4	1	0	3	1	0	B	1	1	0	1503758	0	0	0	0	0	1542309	1542346	1543621	1544220	1544662	1545398	0	1545639	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	5	0	1	1	3	1	A	1	0	0	1503758	0	0	0	0	0	1551640	1551708	1553035	1553515	1554032	1554876	0	1555116	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	6	1	0	0	3	0	B	1	0	0	1503758	0	0	0	0	0	1561116	1561164	1562351	1563133	1563465	1564311	0	1564552	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	7	1	0	2	3	0	B	1	1	0	1503758	0	0	0	0	0	1570552	1570613	1571734	1572338	1572629	1573759	0	1574001	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	8	1	0	0	3	0	B	1	1	0	1503758	0	0	0	0	0	1580002	1580077	1580709	1581402	1581754	1582604	0	1582845	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	9	0	1	2	3	1	A	1	1	0	1503758	0	0	0	0	0	1588847	1588909	1590091	1590610	1591027	1592247	0	1592488	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	10	0	1	2	1	1	A	1	1	0	1503758	0	0	0	0	0	1598488	1598552	1599660	1600325	1600683	1601895	0	1602136	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	11	0	1	2	3	1	B	0	0	0	1503758	0	0	0	0	0	1608136	1608167	1609110	1609763	1610153	0	1610849	1611090	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	12	0	1	1	2	1	B	0	1	0	1503758	0	0	0	0	0	1617090	1617155	1618605	1619238	1619556	0	1620676	1620916	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	13	0	1	0	3	1	B	0	0	0	1503758	0	0	0	0	0	1626917	1626993	1628248	1628901	1629313	0	1630669	1630909	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	14	1	0	0	3	0	A	0	0	0	1503758	0	0	0	0	0	1636911	1636980	1638255	1638876	1639456	0	1640192	1640432	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	15	1	0	0	1	0	A	0	0	0	1503758	0	0	0	0	0	1646432	1646482	1647809	1648573	1649032	0	1649876	1650117	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	16	1	0	3	0	0	A	0	0	0	1503758	0	0	0	0	0	1656118	1656168	1657355	1658323	1658770	0	1659616	1659857	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	17	1	0	1	3	0	A	0	0	0	1503758	0	0	0	0	0	1665858	1665918	1667039	1667708	1668214	0	1669344	1669589	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	18	1	0	0	1	0	B	1	1	0	1503758	0	0	0	0	0	1675590	1675639	1676271	1677006	1677555	1678405	0	1678646	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	19	0	1	2	3	1	A	1	0	0	1503758	0	0	0	0	0	1684647	1684695	1685877	1686533	1687032	1688252	0	1688492	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	0	0	1	3	2	1	A	1	1	0	1694493	0	0	0	0	0	1694521	1694599	1695170	1695830	1696300	1696883	0	1697124	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	1	0	1	1	0	1	A	1	1	0	1694493	0	0	0	0	0	1703124	1703189	1704312	1704972	1705412	1706029	0	1706270	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	2	0	1	2	0	1	A	1	1	0	1694493	0	0	0	0	0	1712272	1712331	1713475	1714091	1714586	1715334	0	1715575	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	3	1	0	3	1	0	B	1	0	0	1694493	0	0	0	0	0	1721576	1721613	1722774	1723332	1723748	1725058	0	1725299	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	4	1	0	3	2	0	B	1	1	0	1694493	0	0	0	0	0	1731299	1731368	1731904	1732440	1732842	1734002	0	1734242	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	5	1	0	3	2	0	B	1	1	0	1694493	0	0	0	0	0	1740243	1740278	1741679	1742281	1742689	1743763	0	1744003	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	6	1	0	3	0	0	B	1	1	0	1694493	0	0	0	0	0	1750003	1750075	1751384	1752130	1752615	1753116	0	1753357	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	7	0	1	0	3	1	A	1	0	0	1694493	0	0	0	0	0	1759357	1759413	1760791	1761380	1761889	1762677	0	1762918	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	8	0	1	0	2	1	A	1	0	0	1694493	0	0	0	0	0	1768919	1768981	1769602	1770266	1770655	1771270	0	1771511	0	0	0	0	0	0	
2	Exec_Auto	0	2304689	9	0	1	2	0	1	A	1	0	0	1694493	0	0	0	0	0	1777512	1777595	1778125	1778740	1779159	1780361	0	1780602	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	10	1	0	1	3	0	A	0	1	0	1694493	0	0	0	0	0	1786603	1786671	1787242	1787946	1788339	0	1788922	1789162	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	11	0	1	0	3	1	B	0	0	0	1694493	0	0	0	0	0	1795162	1795209	1796332	1797198	1797629	0	1798246	1798486	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	12	1	0	1	3	0	A	0	0	0	1694493	0	0	0	0	0	1804486	1804551	1805695	1806216	1806661	0	1807409	1807650	0	0	0	0	0	0	
2	Exec_Auto	1	2304689	13	1	0	3	0	0	A	0	1	0	1694493	0	0	0	0	0	1813651	1813703	1814864	1815690	1816067	0	1817377	1817617	0	0	0	0	0	0	
