Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	14220270	0	1	0	3	2	0	B	1	0	0	24316	0	0	0	0	0	24326	24421	25137	25899	26536	27591	0	27911	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	1	1	0	3	0	0	B	1	1	0	24316	0	0	0	0	0	33911	33988	34822	35512	35985	37016	0	37337	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	2	1	0	0	2	0	B	1	0	0	24316	0	0	0	0	0	43337	43395	44650	45395	46225	47142	0	47464	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	3	0	1	0	3	1	A	1	1	0	24316	0	0	0	0	0	53464	53524	55019	55863	56325	57594	0	57915	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	4	0	1	3	0	1	A	1	1	0	24316	0	0	0	0	0	63916	63987	64640	71509	72167	72902	0	73223	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	5	1	0	1	3	0	B	1	1	0	24316	0	0	0	0	0	79224	79292	80627	81203	81768	83213	0	83533	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	6	0	1	0	1	1	A	1	1	0	24316	0	0	0	0	0	89534	89601	90881	91541	92072	92976	0	93299	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	7	1	0	3	2	0	B	1	1	0	24316	0	0	0	0	0	99300	99372	100190	100823	101650	102982	0	103303	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	8	1	0	0	3	0	B	1	1	0	24316	0	0	0	0	0	109303	109369	109877	110518	111166	112370	0	112691	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	9	0	1	3	0	1	A	1	1	0	24316	0	0	0	0	0	118691	118718	119815	120410	120935	121684	0	122005	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	10	0	1	0	2	1		0	0	252	24316	0	0	0	0	0	128005	128046	128762	129746	130548	0	0	134266	0	0	131066	0	0	0	
2	Exec_Auto	1	14220270	10	0	1	0	2	1	A	1	1	0	24316	0	0	0	0	0	140266	140353	141069	141746	142327	143382	0	143702	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	11	0	1	3	0	1	A	1	0	0	24316	0	0	0	0	0	149703	149768	150602	151261	151823	152854	0	153174	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	12	0	1	0	1	1	A	1	0	0	24316	0	0	0	0	0	159174	159213	160468	161285	161814	162731	0	163051	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	13	0	1	0	3	1	A	1	1	0	24316	0	0	0	0	0	169052	169140	170635	171629	172165	173434	0	173754	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	14	0	1	1	2	1	A	1	1	0	24316	0	0	0	0	0	179755	179812	180465	181056	181755	182490	0	182811	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	15	1	0	2	0	0	B	1	0	0	24316	0	0	0	0	0	188811	188833	190168	190803	191419	192864	0	193185	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	16	1	0	3	1	0	B	1	0	0	24316	0	0	0	0	0	199185	199231	200511	201188	201970	202874	0	203194	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	17	0	1	0	3	1	A	1	1	0	24316	0	0	0	0	0	209194	209253	210071	210969	211600	212932	0	213252	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	18	1	0	2	1	0	B	1	0	0	24316	0	0	0	0	0	219253	219323	219831	220341	220914	222118	0	222439	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	19	0	1	0	3	1	A	1	1	0	24316	0	0	0	0	0	228440	228533	229630	230141	230684	231433	0	231753	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	0	0	1	1	3	1	A	1	1	0	237754	0	0	0	0	0	237781	237878	239368	239844	240635	241858	0	242179	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	1	1	0	1	2	0	B	1	1	0	237754	0	0	0	0	0	248180	248237	248877	249413	250025	250861	0	251182	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	2	1	0	2	3	0	B	1	1	0	237754	0	0	0	0	0	257182	257256	258453	259034	259594	260318	0	260639	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	3	0	1	2	3	1	A	1	1	0	237754	0	0	0	0	0	266639	266662	267335	267860	268394	269288	0	269609	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	4	0	1	1	0	1	A	1	1	0	237754	0	0	0	0	0	275610	275683	276197	276696	277321	278379	0	278700	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	5	0	1	1	2	1	A	1	1	0	237754	0	0	0	0	0	284700	284757	285599	286023	286570	287115	0	287436	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	6	0	1	3	2	1	A	1	1	0	237754	0	0	0	0	0	293436	293504	294047	294629	295235	296695	0	297016	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	7	0	1	3	0	1	A	1	1	0	237754	0	0	0	0	0	303017	303085	303681	304331	304864	305993	0	306313	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	8	0	1	0	1	1	A	1	1	0	237754	0	0	0	0	0	312314	312394	313874	314390	314987	316319	0	316640	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	9	1	0	0	2	0	B	1	1	0	237754	0	0	0	0	0	322641	322741	323947	324494	328377	329735	0	330055	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	10	0	1	3	2	1		0	0	252	237754	0	0	0	0	0	336056	336103	337593	338308	338971	0	0	342684	0	0	339484	0	0	0	
2	Exec_Auto	1	14220270	10	0	1	3	2	1	A	1	1	0	237754	0	0	0	0	0	348684	348731	350221	350854	351257	352479	0	352799	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	11	1	0	3	1	0	B	1	1	0	237754	0	0	0	0	0	358800	358851	359491	360233	360809	361645	0	361966	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	12	0	1	3	2	1	A	1	0	0	237754	0	0	0	0	0	367966	368010	369207	369947	370554	371278	0	371598	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	13	1	0	0	2	0	B	1	1	0	237754	0	0	0	0	0	377599	377671	378344	379108	379646	380540	0	380860	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	14	0	1	3	0	1	A	1	1	0	237754	0	0	0	0	0	386860	386906	387420	388078	388543	389601	0	389922	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	15	1	0	0	3	0	B	1	1	0	237754	0	0	0	0	0	395923	395984	396826	397512	397993	398538	0	398858	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	16	0	1	3	1	1	A	1	1	0	237754	0	0	0	0	0	404859	404936	405479	406159	406637	408097	0	408417	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	17	0	1	0	2	1	A	1	1	0	237754	0	0	0	0	0	414417	414469	415065	415728	416111	417240	0	417561	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	18	0	1	1	3	1	A	1	0	0	237754	0	0	0	0	0	423562	423594	425074	425709	426251	427583	0	427904	0	0	0	0	0	0	
2	Exec_Auto	1	14220270	19	0	1	2	1	1	A	1	0	0	237754	0	0	0	0	0	433905	433947	435153	435966	436628	437986	0	438308	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	0	0	1	3	0	1	A	1	0	0	444310	0	0	0	0	0	444377	444452	445013	445661	446219	447687	0	448008	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	1	1	0	2	0	0	B	1	1	0	444310	0	0	0	0	0	454009	454054	454615	455130	455641	456402	0	456723	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	2	1	0	1	2	0	B	1	1	0	444310	0	0	0	0	0	462724	462786	463945	464478	465020	466333	0	466654	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	3	0	1	3	1	1	A	1	1	0	444310	0	0	0	0	0	472655	472732	473938	474505	475077	475862	0	476183	0	0	0	0	0	0	
2	Exec_Auto	0	14220270	4	0	1	3	2	1	A	1	1	0	444310	0	0	0	0	0	482184	482245	483615	484247	484703	485235	0	485556	0	0	0	0	0	0	
