Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	15173300	0	1	0	3	2	0	B	1	0	0	30617	0	0	0	0	0	30623	30716	31285	31755	31903	32806	0	33047	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	1	1	0	3	1	0	B	1	1	0	30617	0	0	0	0	0	39048	39120	40503	40907	41037	42159	0	42399	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	2	0	1	0	2	1	A	1	1	0	30617	0	0	0	0	0	48400	48452	49307	49778	49831	51122	0	51362	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	3	1	0	3	0	0	B	1	1	0	30617	0	0	0	0	0	57362	57426	58661	59118	59176	60502	0	60744	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	4	1	0	3	1	0	B	1	0	0	30617	0	0	0	0	0	66744	66790	68105	68534	68642	70050	0	70290	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	5	1	0	0	3	0	B	1	0	0	30617	0	0	0	0	0	76291	76344	76940	77374	77460	78384	0	78625	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	6	0	1	0	3	1	A	1	1	0	30617	0	0	0	0	0	84625	84688	86093	86535	86573	87559	0	87799	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	7	1	0	3	2	0	B	1	1	0	30617	0	0	0	0	0	93800	93866	95092	95506	95586	97019	0	97260	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	8	0	1	1	3	1	A	1	1	0	30617	0	0	0	0	0	103260	103291	104284	104714	104805	105656	0	105896	0	0	0	0	0	0	
2	Exec_Auto	0	15173300	9	1	0	0	1	0	B	1	1	0	30617	0	0	0	0	0	111896	111970	113217	113629	113689	114551	0	114791	0	0	0	0	0	0	
2	Exec_Auto	1	15173300	10	0	1	0	1	1	B	0	0	0	30617	0	0	0	0	0	120792	120824	121393	121967	122035	0	122938	123180	0	0	0	0	0	0	
2	Exec_Auto	1	15173300	11	1	0	0	1	0	B	1	1	0	30617	0	0	0	0	0	129181	129257	130640	131205	131305	132427	0	132668	0	0	0	0	0	0	
2	Exec_Auto	1	15173300	12	0	1	1	0	1	A	1	1	0	30617	0	0	0	0	0	138668	138734	139589	140126	140168	141459	0	141699	0	0	0	0	0	0	
2	Exec_Auto	1	15173300	13	0	1	2	0	1	B	0	0	0	30617	0	0	0	0	0	147700	147736	148971	149472	149516	0	150842	151084	0	0	0	0	0	0	
2	Exec_Auto	1	15173300	14	0	1	1	2	1	A	1	1	0	30617	0	0	0	0	0	157085	157126	158441	159046	159167	160575	0	160815	0	0	0	0	0	0	
2	Exec_Auto	1	15173300	15	1	0	2	0	0	B	1	1	0	30617	0	0	0	0	0	166816	166868	167464	168010	168042	168966	0	169207	0	0	0	0	0	0	
