Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	22621808	0	0	1	3	2	1	A	1	0	252	3830	0	0	0	0	0	3838	3914	5392	6669	6733	0	0	9945	0	0	6745	0	0	0	
2	Exec_Auto	0	22621808	0	0	1	3	2	1	A	1	1	0	3830	0	0	0	0	0	11947	12021	13499	14359	14440	14940	0	15181	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	1	1	0	0	1	0	B	1	0	0	3830	0	0	0	0	0	17182	17236	18161	18622	18715	19215	0	19455	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	2	0	1	2	3	1	A	1	1	0	3830	0	0	0	0	0	21455	21491	22096	22554	22643	23143	0	23384	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	3	0	1	2	1	1	A	1	0	0	3830	0	0	0	0	0	25385	25416	26001	26432	26520	27020	0	27261	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	4	1	0	0	3	0	B	1	1	0	3830	0	0	0	0	0	29261	29369	30384	30920	30957	31457	0	31698	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	5	0	1	0	2	1	A	1	1	0	3830	0	0	0	0	0	33699	33759	34869	35275	35309	35809	0	36050	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	6	0	1	1	3	1	A	1	1	0	3830	0	0	0	0	0	38050	38111	39260	39663	39767	40267	0	40508	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	7	0	1	1	2	1	A	1	1	0	3830	0	0	0	0	0	42508	42548	43427	43832	43898	44398	0	44639	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	8	0	1	1	3	1	A	1	0	0	3830	0	0	0	0	0	46639	46687	47502	47899	47953	48453	0	48694	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	9	1	0	3	0	0	B	1	0	0	3830	0	0	0	0	0	50694	50742	52023	52464	52513	53013	0	53254	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	10	0	1	3	2	1	A	1	0	0	3830	0	0	0	0	0	55256	55343	56821	57398	57814	58314	0	58554	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	11	1	0	3	0	0	B	1	1	0	3830	0	0	0	0	0	60554	60627	61552	62019	62061	62561	0	62801	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	12	1	0	3	2	0	B	1	1	0	3830	0	0	0	0	0	64801	64860	65465	65899	65969	66469	0	66709	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	13	0	1	2	1	1	A	1	1	0	3830	0	0	0	0	0	68709	68743	69328	69778	69843	70343	0	70591	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	14	0	1	2	0	1	A	1	1	0	3830	0	0	0	0	0	72592	72644	73659	74025	74077	74577	0	74818	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	15	1	0	1	2	0	B	1	1	0	3830	0	0	0	0	0	76818	76897	78007	78411	78467	78967	0	79207	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	16	1	0	0	1	0	B	1	1	0	3830	0	0	0	0	0	81208	81239	82388	82855	82936	83436	0	83676	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	17	0	1	1	2	1	A	1	1	0	3830	0	0	0	0	0	85677	85709	86588	87011	87078	87578	0	87818	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	18	1	0	0	1	0	B	1	0	0	3830	0	0	0	0	0	89819	89859	90674	91088	91174	91674	0	91915	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	19	0	1	2	3	1	A	1	1	0	3830	0	0	0	0	0	93916	93977	95258	95709	95788	96288	0	96529	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	0	0	1	3	2	1	A	1	0	0	98530	0	0	0	0	0	98587	98648	99565	99965	100021	100521	0	100762	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	1	1	0	2	1	0	B	1	0	0	98530	0	0	0	0	0	102763	102790	104217	104633	104691	105191	0	105431	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	2	0	1	0	2	1	A	1	1	0	98530	0	0	0	0	0	107433	107497	108790	109197	109265	109765	0	110006	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	3	0	1	0	2	1	A	1	1	0	98530	0	0	0	0	0	112006	112062	113421	113872	113903	114403	0	114646	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	4	0	1	1	0	1	A	1	1	0	98530	0	0	0	0	0	116647	116705	117766	118171	118230	118730	0	118971	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	5	0	1	3	1	1	A	1	0	0	98530	0	0	0	0	0	120971	121046	122272	122759	122796	123296	0	123537	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	6	0	1	2	1	1	A	1	1	0	98530	0	0	0	0	0	125538	125605	126242	126701	126739	127239	0	127483	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	7	0	1	2	1	1	A	1	1	0	98530	0	0	0	0	0	129484	129554	130604	130967	131024	131524	0	131767	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	8	0	1	0	2	1	A	1	0	0	98530	0	0	0	0	0	133768	133801	134318	134719	134752	135252	0	135493	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	9	0	1	1	0	1	A	1	0	0	98530	0	0	0	0	0	137494	137597	138567	139073	139162	139662	0	139902	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	10	0	1	2	3	1	A	1	1	0	98530	0	0	0	0	0	141904	141973	142890	143372	143443	143943	0	144183	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	11	0	1	0	1	1	A	1	1	0	98530	0	0	0	0	0	146183	146223	147650	148083	148130	148630	0	148871	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	12	1	0	2	1	0	B	1	0	0	98530	0	0	0	0	0	150872	150943	152236	152704	152794	153294	0	153535	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	13	0	1	3	1	1	A	1	1	0	98530	0	0	0	0	0	155535	155577	156936	157415	157470	157970	0	158210	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	14	1	0	1	2	0	B	1	0	0	98530	0	0	0	0	0	160211	160282	161343	161705	161764	162264	0	162505	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	15	0	1	2	1	1	B	0	0	0	98530	0	0	0	0	0	164505	164574	165800	166238	166382	0	166882	167123	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	16	0	1	1	0	1	B	0	1	0	98530	0	0	0	0	0	169123	169157	169794	170251	170316	0	170816	171056	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	17	1	0	1	3	0	A	0	0	0	98530	0	0	0	0	0	173056	173116	174166	174738	174800	0	175300	175545	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	18	0	1	1	3	1	B	0	0	0	98530	0	0	0	0	0	177546	177581	178098	178807	178846	0	179346	179588	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	19	1	0	0	1	0	B	1	0	0	98530	0	0	0	0	0	181588	181657	182627	183160	183240	183740	0	183980	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	0	1	0	1	2	0	B	1	0	0	185982	0	0	0	0	0	185999	186049	187276	187702	187752	188252	0	188492	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	1	1	0	1	0	0	B	1	1	0	185982	0	0	0	0	0	190492	190564	191439	191902	191970	192470	0	192710	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	2	0	1	0	2	1	A	1	0	0	185982	0	0	0	0	0	194711	194783	195344	195745	195787	196287	0	196527	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	3	0	1	3	0	1	A	1	1	0	185982	0	0	0	0	0	198527	198592	199415	199954	200007	200507	0	200748	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	4	0	1	1	3	1	A	1	1	0	185982	0	0	0	0	0	202749	202804	203732	204154	204230	204730	0	204970	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	5	0	1	3	0	1	A	1	1	0	185982	0	0	0	0	0	206970	207000	208411	208824	208849	209349	0	209589	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	6	0	1	3	0	1	A	1	1	0	185982	0	0	0	0	0	211590	211634	212489	212888	212939	213439	0	213679	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	7	1	0	0	3	0	B	1	1	0	185982	0	0	0	0	0	215679	215739	216801	217186	217237	217737	0	217978	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	8	0	1	0	2	1	A	1	1	0	185982	0	0	0	0	0	219979	220055	221126	221539	221572	222072	0	222313	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	9	0	1	3	0	1	A	1	0	0	185982	0	0	0	0	0	224314	224345	225301	225704	225755	226255	0	226496	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	10	0	1	0	2	1	A	1	1	0	185982	0	0	0	0	0	228496	228563	229790	230281	230332	230832	0	231073	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	11	0	1	0	1	1	A	1	1	0	185982	0	0	0	0	0	233073	233139	234014	234438	234486	234986	0	235227	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	12	0	1	0	1	1	A	1	1	0	185982	0	0	0	0	0	237228	237302	237863	238326	238364	238864	0	239104	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	13	0	1	2	3	1	A	1	1	0	185982	0	0	0	0	0	241104	241139	241962	242437	242505	243005	0	243245	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	14	0	1	2	0	1	A	1	1	0	185982	0	0	0	0	0	245246	245309	246237	246603	246673	247173	0	247415	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	15	1	0	0	3	0	B	1	1	0	185982	0	0	0	0	0	249416	249451	250862	251277	251310	251810	0	252051	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	16	0	1	1	0	1	A	1	1	0	185982	0	0	0	0	0	254051	254121	254976	255407	255459	255959	0	256199	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	17	0	1	3	2	1	A	1	0	0	185982	0	0	0	0	0	258199	258257	259319	259751	259800	260300	0	260541	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	18	1	0	0	3	0	B	1	0	0	185982	0	0	0	0	0	262541	262616	263687	264106	264154	264654	0	264894	0	0	0	0	0	0	
2	Exec_Auto	1	22621808	19	0	1	3	0	1	B	0	0	0	185982	0	0	0	0	0	266895	266969	267925	268494	268562	0	269062	269303	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	0	1	0	0	1	0	B	1	1	0	271304	0	0	0	0	0	271315	271389	271897	272292	272363	272863	0	273104	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	1	1	0	0	3	0	B	1	1	0	271304	0	0	0	0	0	275105	275140	275673	276082	276135	276635	0	276876	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	2	1	0	3	2	0	B	1	1	0	271304	0	0	0	0	0	278877	278950	280442	280803	280838	281338	0	281579	0	0	0	0	0	0	
2	Exec_Auto	0	22621808	3	1	0	1	2	0	B	1	1	0	271304	0	0	0	0	0	283580	283653	284872	285245	285290	285790	0	286030	0	0	0	0	0	0	
