Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	RecA__B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	22129112	7	0	1	2	0	1	A	1	0	252	1408	0	0	0	0	0	204430	204482	205027	205515	205630	0	0	208841	0	0	205641	0	0	0
2	Exec_Auto	0	22129112	7	0	1	2	0	1	A	1	1	0	1408	0	0	0	0	0	210841	210910	211455	211893	213245	213745	0	213985	0	0	0	0	0	0
2	Exec_Auto	0	22129112	8	0	1	3	2	1	A	1	1	0	1408	0	0	0	0	0	215986	216048	216686	217059	217138	217638	0	217878	0	0	0	0	0	0
2	Exec_Auto	0	22129112	9	1	0	0	1	0	B	1	0	252	1408	0	0	0	0	0	219879	219940	221034	221413	221546	0	0	224764	0	0	221564	0	0	0
2	Exec_Auto	0	22129112	9	1	0	0	1	0	B	1	0	252	1408	0	0	0	0	0	226764	226846	227940	228411	228723	0	0	231945	0	0	228745	0	0	0
2	Exec_Auto	0	22129112	9	1	0	0	1	0	B	1	1	0	1408	0	0	0	0	0	233945	234023	235117	235509	236939	237439	0	237681	0	0	0	0	0	0
2	Exec_Auto	1	22129112	10	1	0	0	3	0	B	1	0	0	1408	0	0	0	0	0	239681	239749	240754	241283	241389	241889	0	242130	0	0	0	0	0	0
2	Exec_Auto	1	22129112	11	1	0	3	1	0	A	0	0	252	1408	0	0	0	0	0	244131	244180	245157	245627	245766	0	0	248983	0	0	245783	0	0	0
2	Exec_Auto	1	22129112	11	1	0	3	1	0	A	0	0	0	1408	0	0	0	0	0	250983	251034	252011	252580	252686	0	253186	253427	0	0	0	0	0	0
2	Exec_Auto	1	22129112	12	0	1	3	0	0	A	0	1	0	1408	0	0	0	0	0	255428	255489	256149	256611	256667	0	257167	257407	0	0	0	0	0	0
2	Exec_Auto	1	22129112	13	0	1	1	2	0	B	1	0	252	1408	0	0	0	0	0	259409	272115	273049	273781	273906	0	0	277116	0	0	273916	0	0	0
2	Exec_Auto	1	22129112	13	0	1	1	2	0	B	1	0	252	1408	0	0	0	0	0	279116	279215	280149	280653	280828	0	0	284046	0	0	280846	0	0	0
2	Exec_Auto	1	22129112	13	0	1	1	2	0	B	1	0	0	1408	0	0	0	0	0	286047	286101	287035	287481	289370	289870	0	290110	0	0	0	0	0	0
2	Exec_Auto	1	22129112	14	0	1	2	0	0	A	0	0	252	1408	0	0	0	0	0	292110	293145	293844	294311	294658	0	0	297885	0	0	294685	0	0	0
2	Exec_Auto	1	22129112	14	0	1	2	0	0	A	0	0	0	1408	0	0	0	0	0	299885	299933	300632	301094	302557	0	303057	303297	0	0	0	0	0	0
2	Exec_Auto	1	22129112	15	1	0	1	0	0	A	0	0	0	1408	0	0	0	0	0	305297	305370	306755	307406	310112	0	310612	310852	0	0	0	0	0	0
2	Exec_Auto	1	22129112	16	0	1	1	0	0	A	0	0	0	1408	0	0	0	0	0	312852	325756	326566	327059	328123	0	328623	328864	0	0	0	0	0	0
2	Exec_Auto	1	22129112	17	0	1	2	0	0	A	0	1	0	1408	0	0	0	0	0	330865	338030	338575	339009	340192	0	340692	340933	0	0	0	0	0	0
2	Exec_Auto	1	22129112	18	0	1	2	1	0	A	0	0	252	1408	0	0	0	0	0	342934	343000	343638	344085	344254	0	0	347462	0	0	344262	0	0	0
2	Exec_Auto	1	22129112	18	0	1	2	1	0	A	0	0	252	1408	0	0	0	0	0	349463	349488	350126	350763	352081	0	0	355706	0	0	352506	0	0	0
2	Exec_Auto	1	22129112	18	0	1	2	1	0	A	0	1	0	1408	0	0	0	0	0	357706	357780	358418	358815	359437	0	359937	360178	0	0	0	0	0	0
2	Exec_Auto	1	22129112	19	1	0	2	0	0	A	0	0	252	1408	0	0	0	0	0	362178	362234	363328	363891	364014	0	0	367476	0	0	364276	0	0	0
2	Exec_Auto	1	22129112	19	1	0	2	0	0	A	0	0	252	1408	0	0	0	0	0	369476	369548	370642	371136	371482	0	0	374982	0	0	371782	0	0	0
2	Exec_Auto	1	22129112	19	1	0	2	0	0	A	0	1	0	1408	0	0	0	0	0	376982	377022	378116	378631	379825	0	380325	380566	0	0	0	0	0	0
2	Exec_Auto	0	22129112	0	1	0	2	1	0	B	1	0	252	382568	0	0	0	0	0	382578	382664	384072	384573	384841	0	0	388322	0	0	385122	0	0	0
2	Exec_Auto	0	22129112	0	1	0	2	1	0	B	1	1	0	382568	0	0	0	0	0	390322	390364	391772	392162	392492	392992	0	393234	0	0	0	0	0	0
2	Exec_Auto	0	22129112	1	1	0	0	3	0	B	1	0	252	382568	0	0	0	0	0	395234	395289	396313	396838	396919	0	0	400137	0	0	396937	0	0	0
2	Exec_Auto	0	22129112	1	1	0	0	3	0	B	1	1	0	382568	0	0	0	0	0	402137	402197	403221	403711	405532	406032	0	406273	0	0	0	0	0	0
2	Exec_Auto	0	22129112	2	0	1	3	0	1	A	1	0	252	382568	0	0	0	0	0	408274	408374	409044	409655	409835	0	0	413045	0	0	409845	0	0	0
2	Exec_Auto	0	22129112	2	0	1	3	0	1		1	0	255	382568	0	0	0	0	0	415045	415098	0	0	0	0	0	417018	0	0	0	0	0	415518
2	Exec_Auto	0	22129112	2	0	1	3	0	1	A	1	0	252	382568	0	0	0	0	0	419018	421116	421786	422282	425873	0	0	429406	0	0	426206	0	0	0
2	Exec_Auto	0	22129112	2	0	1	3	0	1		0	0	252	382568	0	0	0	0	0	431407	437009	437679	437753	438605	0	0	441838	0	0	438638	0	0	0
2	Exec_Auto	0	22129112	2	0	1	3	0	1		0	0	255	382568	0	0	0	0	0	443839	443888	0	0	0	0	0	445422	0	0	0	0	0	443922
2	Exec_Auto	0	22129112	2	0	1	3	0	1	A	1	0	252	382568	0	0	0	0	0	447423	447486	448156	448721	452962	0	0	456171	0	0	452971	0	0	0
2	Exec_Auto	0	22129112	2	0	1	3	0	1		1	0	255	382568	0	0	0	0	0	458172	458234	0	0	0	0	0	459857	0	0	0	0	0	458357
2	Exec_Auto	0	22129112	2	0	1	3	0	1	A	1	1	0	382568	0	0	0	0	0	461858	461936	462606	463156	470689	471189	0	471429	0	0	0	0	0	0
2	Exec_Auto	0	22129112	3	1	0	0	3	0	B	1	1	0	382568	0	0	0	0	0	473429	473492	474130	474630	481106	481606	0	481846	0	0	0	0	0	0
2	Exec_Auto	0	22129112	4	0	1	3	0	1		1	0	255	382568	0	0	0	0	0	483846	484442	0	0	0	0	0	486026	0	0	0	0	0	484526
2	Exec_Auto	0	22129112	4	0	1	3	0	1		1	0	255	382568	0	0	0	0	0	488026	488881	0	0	0	0	0	490994	0	0	0	0	0	489494
2	Exec_Auto	0	22129112	4	0	1	3	0	1		1	0	255	382568	0	0	0	0	0	492995	493045	0	0	0	0	0	495081	0	0	0	0	0	493581
2	Exec_Auto	0	22129112	4	0	1	3	0	1		1	0	255	382568	0	0	0	0	0	497081	504980	0	0	0	0	0	506592	0	0	0	0	0	505092
2	Exec_Auto	0	22129112	4	0	1	3	0	1	A	1	0	252	382568	0	0	0	0	0	508592	508668	509440	509942	514398	0	0	517906	0	0	514706	0	0	0
2	Exec_Auto	0	22129112	4	0	1	3	0	1	A	1	0	252	382568	0	0	0	0	0	519906	519958	520730	520933	527756	0	0	531007	0	0	527807	0	0	0
