Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	33676185	0	0	1	3	0	1	A	1	1	0	2109	0	0	0	0	0	2115	2193	3060	3513	3815	4315	0	4615	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	1	0	1	0	3	1	A	1	0	0	2109	0	0	0	0	0	6616	6697	7228	7668	8067	8567	0	8868	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	2	1	0	1	0	0	B	1	1	0	2109	0	0	0	0	0	10869	10919	12316	12755	13154	13654	0	13956	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	3	0	1	2	3	1	A	1	1	0	2109	0	0	0	0	0	15957	15991	17216	17561	17862	18362	0	18663	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	4	0	1	3	2	1	A	1	1	0	2109	0	0	0	0	0	20663	20727	21417	21823	22480	22980	0	23281	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	5	1	0	1	2	0	B	1	1	0	2109	0	0	0	0	0	25286	25351	26275	26622	27004	27504	0	27805	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	6	0	1	1	2	1	A	1	0	0	2109	0	0	0	0	0	29805	29836	30478	30867	31270	31770	0	32071	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	7	0	1	3	1	1	A	1	0	0	2109	0	0	0	0	0	34072	34153	35113	35531	36059	36559	0	36860	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	8	1	0	0	3	0	B	1	1	0	2109	0	0	0	0	0	38860	38916	40312	40750	41103	41603	0	41905	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	9	0	1	1	0	1	A	1	1	0	2109	0	0	0	0	0	43906	43981	44804	45246	45624	46124	0	46425	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	10	1	0	2	3	0	A	0	1	0	2109	0	0	0	0	0	48426	48500	49367	49724	50221	0	50721	51021	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	11	0	1	2	3	1	B	0	0	0	2109	0	0	0	0	0	53021	53094	53625	54111	56285	0	56785	57085	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	12	1	0	1	3	0	B	1	1	0	2109	0	0	0	0	0	59086	59146	60543	60973	61394	61894	0	62194	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	13	1	0	0	2	0	A	0	0	0	2109	0	0	0	0	0	64194	64270	65495	66005	66378	0	66878	67180	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	14	0	1	0	2	1	B	0	0	0	2109	0	0	0	0	0	69180	69258	69948	70445	70906	0	71406	71706	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	15	0	1	2	1	1	B	0	0	0	2109	0	0	0	0	0	73706	73768	74692	75111	75675	0	76175	76476	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	16	0	1	3	2	1	B	0	0	0	2109	0	0	0	0	0	78476	78555	79197	79632	80054	0	80554	80854	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	17	0	1	1	3	1	B	0	0	252	2109	0	0	0	0	0	82854	82912	83872	84333	84826	0	0	88035	0	0	84835	0	0	0	
2	Exec_Auto	1	33676185	17	0	1	1	3	1	B	0	0	252	2109	0	0	0	0	0	90035	90074	91034	91650	92417	0	0	95941	0	0	92741	0	0	0	
2	Exec_Auto	1	33676185	17	0	1	1	3	1	B	0	0	0	2109	0	0	0	0	0	97942	98037	98997	99524	99902	0	100402	100702	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	18	1	0	2	3	0	A	0	1	0	2109	0	0	0	0	0	102702	102752	104148	104653	105230	0	105730	106030	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	19	1	0	3	2	0	A	0	0	0	2109	0	0	0	0	0	108030	108091	108914	109407	109802	0	110302	110603	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	0	0	1	2	0	1	A	1	1	0	112605	0	0	0	0	0	112676	112752	113754	114296	114655	115155	0	115456	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	1	0	1	1	3	1	A	1	0	0	112605	0	0	0	0	0	117457	117504	118646	119094	119423	119923	0	120223	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	2	0	1	1	3	1	A	1	1	0	112605	0	0	0	0	0	122223	122271	123064	123527	123939	124439	0	124740	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	3	1	0	3	2	0	B	1	1	0	112605	0	0	0	0	0	126740	126797	127864	128282	128845	129345	0	129646	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	4	0	1	3	0	1	A	1	0	252	112605	0	0	0	0	0	131646	131719	132404	132804	133243	0	0	136453	0	0	133253	0	0	0	
2	Exec_Auto	0	33676185	4	0	1	3	0	1	A	1	1	0	112605	0	0	0	0	0	138453	138501	139186	139667	140106	140606	0	140906	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	5	1	0	1	0	0	B	1	1	0	112605	0	0	0	0	0	142906	142986	143963	144423	144728	145228	0	145528	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	6	1	0	2	3	0	B	1	1	0	112605	0	0	0	0	0	147528	147568	148657	149048	149434	149934	0	150234	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	7	0	1	1	2	1	A	1	1	0	112605	0	0	0	0	0	152235	152300	153194	153579	154058	154558	0	154858	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	8	1	0	3	2	0	B	1	1	0	112605	0	0	0	0	0	156858	156904	157544	157977	158444	158944	0	159244	0	0	0	0	0	0	
2	Exec_Auto	0	33676185	9	1	0	2	1	0	B	1	1	0	112605	0	0	0	0	0	161244	161315	162120	162551	163056	163556	0	163857	0	0	0	0	0	0	
2	Exec_Auto	1	33676185	10	1	0	1	0	0	A	0	0	0	112605	0	0	0	0	0	165858	165932	166934	167448	167811	0	168311	168611	0	0	0	0	0	0	
