Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	32518990	0	0	1	2	3	1	A	1	1	0	957	0	0	0	0	0	966	1063	1619	2003	2252	2752	0	3053	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	1	1	0	3	0	0	B	1	1	0	957	0	0	0	0	0	5053	5082	5729	6203	6470	6970	0	7271	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	2	1	0	2	0	0	B	1	1	0	957	0	0	0	0	0	9271	9331	10264	10689	10974	11474	0	11775	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	3	0	1	2	3	1	A	1	0	0	957	0	0	0	0	0	13775	13820	14447	14847	15244	15744	0	16044	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	4	0	1	0	1	1	A	1	1	0	957	0	0	0	0	0	18044	18117	19230	19645	19934	20434	0	20735	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	5	0	1	3	1	1	A	1	1	0	957	0	0	0	0	0	22735	22790	24123	24499	24774	25274	0	25574	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	6	1	0	3	0	0	B	1	0	0	957	0	0	0	0	0	27574	27633	28981	29397	29648	30148	0	30448	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	7	1	0	1	2	0	B	1	0	0	957	0	0	0	0	0	32449	32518	33735	34117	34370	34870	0	35172	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	8	0	1	1	3	1	A	1	0	0	957	0	0	0	0	0	37173	37242	37961	38381	38639	39139	0	39439	0	0	0	0	0	0	
2	Exec_Auto	0	32518990	9	1	0	1	3	0	B	1	1	0	957	0	0	0	0	0	41439	41516	42435	42866	43094	43594	0	43894	0	0	0	0	0	0	
