Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	33842119	0	0	1	2	3	1	A	1	0	0	1109	0	0	0	0	0	1115	1194	1744	2136	2467	2967	0	3268	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	1	1	0	2	3	0	B	1	1	0	1109	0	0	0	0	0	5268	5326	6149	6578	6982	7482	0	7782	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	2	1	0	2	0	0	B	1	0	0	1109	0	0	0	0	0	9782	9858	11094	11556	11800	12300	0	12601	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	3	0	1	0	1	1	A	1	1	0	1109	0	0	0	0	0	14602	14660	15633	16001	16314	16814	0	17115	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	4	1	0	0	2	0	B	1	1	0	1109	0	0	0	0	0	19116	19193	20461	20897	21207	21707	0	22007	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	5	1	0	3	2	0	B	1	1	0	1109	0	0	0	0	0	24007	24066	24921	25338	25673	26173	0	26474	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	6	1	0	3	0	0	B	1	1	0	1109	0	0	0	0	0	28474	28497	29474	29914	30271	30771	0	31072	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	7	1	0	1	2	0	B	1	1	0	1109	0	0	0	0	0	33072	33130	34012	34401	34750	35250	0	35551	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	8	1	0	2	3	0	B	1	1	0	1109	0	0	0	0	0	37551	37627	38531	38925	39938	40438	0	40738	0	0	0	0	0	0	
2	Exec_Auto	0	33842119	9	0	1	1	2	1	A	1	1	0	1109	0	0	0	0	0	42739	42789	43801	44187	44512	45012	0	45313	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	10	0	1	0	3	1	B	0	0	0	1109	0	0	0	0	0	47313	47371	47921	48353	48979	0	49479	49780	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	11	0	1	3	0	1	B	0	0	0	1109	0	0	0	0	0	51781	51848	52671	53219	53755	0	54255	54555	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	12	1	0	0	1	0	A	0	1	0	1109	0	0	0	0	0	56556	56621	57857	58347	58810	0	59310	59610	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	13	0	1	3	2	1	B	0	1	0	1109	0	0	0	0	0	61610	61675	62648	63147	63671	0	64171	64471	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	14	0	1	3	0	1	B	0	0	0	1109	0	0	0	0	0	66471	66527	67795	68324	68675	0	69175	69476	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	15	0	1	1	0	1	B	0	0	0	1109	0	0	0	0	0	71476	71542	72397	72954	73390	0	73890	74190	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	16	0	1	0	1	1	B	0	0	0	1109	0	0	0	0	0	76191	76260	77237	77708	78092	0	78592	78892	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	17	0	1	3	1	1	A	1	1	0	1109	0	0	0	0	0	80892	80949	81831	82321	82648	83148	0	83449	0	0	0	0	0	0	
2	Exec_Auto	1	33842119	18	1	0	1	0	0	B	1	1	0	1109	0	0	0	0	0	85449	85497	86401	86934	87367	87867	0	88167	0	0	0	0	0	0	
