Task	Typ of Try	FT/ST	Begin launch	Num Try	Num CibleA	Num CibleB	Pos CibleA	Pos CibleB	%RecA_>_B	Target Choice	Good Choice	Reward	Num error	 E0	E10	E20	E30	E100	E40	E15	E25	E35	E45	E55	E105	E115	E200	E250	E251	E252	E253	E254	E255
2	Exec_Auto	0	15736608	0	1	0	3	1	0	B	1	1	0	3766800	0	0	0	0	0	3766808	3766887	3768063	3768664	3768971	3769471	0	3769771	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	1	1	0	2	1	0	B	1	0	0	3766800	0	0	0	0	0	3771771	3771827	3772548	3772954	3773233	3773733	0	3774033	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	2	1	0	2	3	0	B	1	1	0	3766800	0	0	0	0	0	3776033	3776089	3776793	3777252	3777973	3778473	0	3778774	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	3	1	0	2	1	0	B	1	1	0	3766800	0	0	0	0	0	3780774	3780817	3781950	3782378	3782672	3783172	0	3783472	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	4	0	1	3	1	1	A	1	1	0	3766800	0	0	0	0	0	3785472	3785534	3786623	3787007	3787459	3787959	0	3788259	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	5	1	0	1	3	0	B	1	1	0	3766800	0	0	0	0	0	3790259	3790305	3790891	3791361	3791680	3792180	0	3792480	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	6	1	0	0	1	0	B	1	1	0	3766800	0	0	0	0	0	3794480	3794544	3795864	3796259	3796526	3797026	0	3797326	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	7	0	1	2	1	1	A	1	1	0	3766800	0	0	0	0	0	3799326	3799349	3800190	3800605	3801102	3801602	0	3801903	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	8	1	0	3	0	0	B	1	1	0	3766800	0	0	0	0	0	3803903	3803963	3805315	3805771	3806006	3806506	0	3806806	0	0	0	0	0	0	
2	Exec_Auto	0	15736608	9	0	1	2	3	1	A	1	1	0	3766800	0	0	0	0	0	3808806	3808885	3810314	3810768	3811009	3811509	0	3811810	0	0	0	0	0	0	
2	Exec_Auto	1	15736608	10	0	1	3	1	1	B	0	0	0	3766800	0	0	0	0	0	3813810	3813876	3815052	3815852	3816209	0	3816709	3817010	0	0	0	0	0	0	
2	Exec_Auto	1	15736608	11	1	0	2	0	0	B	1	1	0	3766800	0	0	0	0	0	3819010	3819060	3819781	3820394	3820653	3821153	0	3821454	0	0	0	0	0	0	
